date_hour,consumption_hour
2019-02-17 15:00:00,1588
2019-02-17 16:00:00,1026
2019-02-17 17:00:00,216
2019-02-17 18:00:00,848
2019-02-17 19:00:00,349
2019-02-17 20:00:00,207
2019-02-17 21:00:00,154
2019-02-17 22:00:00,1009
2019-02-17 23:00:00,910
2019-02-18 00:00:00,653
2019-02-18 01:00:00,676
2019-02-18 02:00:00,258
2019-02-18 03:00:00,134
2019-02-18 04:00:00,173
2019-02-18 05:00:00,199
2019-02-18 06:00:00,241
2019-02-18 07:00:00,49
2019-02-18 08:00:00,405
2019-02-18 09:00:00,840
2019-02-18 10:00:00,1253
2019-02-18 11:00:00,1010
2019-02-18 12:00:00,123
2019-02-18 13:00:00,34
2019-02-18 14:00:00,104
2019-02-18 15:00:00,113
2019-02-18 16:00:00,35
2019-02-18 17:00:00,123
2019-02-18 18:00:00,90
2019-02-18 19:00:00,44
2019-02-18 20:00:00,446
2019-02-18 21:00:00,1722
2019-02-18 22:00:00,671
2019-02-18 23:00:00,869
2019-02-19 00:00:00,155
2019-02-19 01:00:00,143
2019-02-19 02:00:00,92
2019-02-19 03:00:00,43
2019-02-19 04:00:00,367
2019-02-19 05:00:00,287
2019-02-19 06:00:00,189
2019-02-19 07:00:00,345
2019-02-19 08:00:00,238
2019-02-19 09:00:00,1013
2019-02-19 10:00:00,1337
2019-02-19 11:00:00,1056
2019-02-19 12:00:00,40
2019-02-19 13:00:00,129
2019-02-19 14:00:00,82
2019-02-19 15:00:00,56
2019-02-19 16:00:00,130
2019-02-19 17:00:00,62
2019-02-19 18:00:00,69
2019-02-19 19:00:00,1090
2019-02-19 20:00:00,1193
2019-02-19 21:00:00,363
2019-02-19 22:00:00,130
2019-02-19 23:00:00,245
2019-02-20 00:00:00,1252
2019-02-20 01:00:00,532
2019-02-20 02:00:00,233
2019-02-20 03:00:00,42
2019-02-20 04:00:00,123
2019-02-20 05:00:00,217
2019-02-20 06:00:00,34
2019-02-20 07:00:00,322
2019-02-20 08:00:00,469
2019-02-20 09:00:00,1006
2019-02-20 10:00:00,127
2019-02-20 11:00:00,45
2019-02-20 12:00:00,94
2019-02-20 13:00:00,105
2019-02-20 14:00:00,33
2019-02-20 15:00:00,130
2019-02-20 16:00:00,73
2019-02-20 17:00:00,69
2019-02-20 18:00:00,127
2019-02-20 19:00:00,35
2019-02-20 20:00:00,202
2019-02-20 21:00:00,264
2019-02-20 22:00:00,764
2019-02-20 23:00:00,365
2019-02-21 00:00:00,652
2019-02-21 01:00:00,167
2019-02-21 02:00:00,129
2019-02-21 03:00:00,217
2019-02-21 04:00:00,36
2019-02-21 05:00:00,232
2019-02-21 06:00:00,88
2019-02-21 07:00:00,59
2019-02-21 08:00:00,656
2019-02-21 09:00:00,1241
2019-02-21 10:00:00,1288
2019-02-21 11:00:00,781
2019-02-21 12:00:00,35
2019-02-21 13:00:00,119
2019-02-21 14:00:00,76
2019-02-21 15:00:00,75
2019-02-21 16:00:00,122
2019-02-21 17:00:00,34
2019-02-21 18:00:00,118
2019-02-21 19:00:00,87
2019-02-21 20:00:00,277
2019-02-21 21:00:00,121
2019-02-21 22:00:00,33
2019-02-21 23:00:00,567
2019-02-22 00:00:00,1810
2019-02-22 01:00:00,1660
2019-02-22 02:00:00,1160
2019-02-22 03:00:00,62
2019-02-22 04:00:00,92
2019-02-22 05:00:00,115
2019-02-22 06:00:00,34
2019-02-22 07:00:00,126
2019-02-22 08:00:00,431
2019-02-22 09:00:00,1811
2019-02-22 10:00:00,1362
2019-02-22 11:00:00,735
2019-02-22 12:00:00,129
